Date (Montly);Load (hourly) Mwh;Gross Production GWH;Net Electricity Consumption Kwh;T.C. Elektricity consumption (Gross Demand) Kwh
1.1976(January);2676.80;1321.10;1322209577.08;1530309478.00
2.1976;2700.50;1139.80;1234464261.49;1428754104.00
3.1976;2725.60;1262.20;1331969144.44;1541605084.00
4.1976;2664.70;1219.70;1234451852.51;1428739742.00
5.1976;2599.20;1226.70;1235847585.85;1430355147.00
6.1976;2608.90;1225.10;1256130792.78;1453830687.00
7.1976;2664.40;1280.00;1323255378.50;1531519876.00
8.1976;2335.10;1291.80;1332450750.44;1542162489.00
9.1976;2835.30;1346.90;1333935587.87;1543881022.00
10.1976;2966.00;1351.40;1442823962.08;1669907118.00
11.1976;3085.00;1458.00;1508859365.07;1746335700.00
12.1976;3084.90;1500.10;1522501741.88;1762125223.00
1.1977;3101.80;1530.20;1549308270.66;1818595722.00
2.1977;3187.20;1424.70;1401687772.28;1645317097.00
3.1977;3176.00;1526.50;1519333551.75;1783411055.00
4.1977;3210.00;1394.80;1553549536.31;1823574168.00
5.1977;3115.50;1394.20;1473821524.30;1729988518.00
6.1977;3073.00;1424.50;1437350220.03;1687178085.00
7.1977;3068.00;1495.60;1474141500.74;1730364110.00
8.1977;3054.00;1510.70;1497146058.23;1757367122.00
9.1977;3189.00;1513.80;1411094429.03;1656358738.00
10.1977;3220.00;1635.00;1546653286.24;1815479271.00
11.1977;3239.00;1706.70;1457200962.54;1710479113.00
12.1977;3249.10;1726.10;1647512887.90;1933869422.00
1.1978;3220.70;1774.10;1620384412.30;1912500000.00
2.1978;3278.80;1607.80;1456693814.41;1719300000.00
3.1978;3336.40;1741.30;1600643258.41;1889200000.00
4.1978;3318.30;1699.80;1503208378.72;1774200000.00
5.1978;3247.10;1711.30;1508715567.57;1780700000.00
6.1978;3263.70;1662.60;1532354116.64;1808600000.00
7.1978;3209.20;1671.40;1580902104.52;1865900000.00
8.1978;3267.30;1712.00;1633771117.51;1928300000.00
9.1978;3350.00;1643.30;1480501815.45;1747400000.00
10.1978;3471.60;1779.20;1637753238.68;1933000000.00
11.1978;3540.00;1674.50;1623942903.55;1916700000.00
12.1978;3561.40;1887.30;1754929272.25;2071300000.00
1.1979;3508.80;1887.40;1668431095.93;2001001389.00
2.1979;3596.00;1675.70;1525835216.84;1829981709.00
3.1979;3619.10;1833.90;1693119923.48;2030611469.00
4.1979;3559.10;1721.30;1563783980.95;1875494844.00
5.1979;3380.80;1729.40;1577653748.25;1892129288.00
6.1979;3406.90;1753.90;1592399056.89;1909813796.00
7.1979;3428.70;1809.50;1649815032.34;1978674564.00
8.1979;3441.00;1867.60;1681553378.27;2016739351.00
9.1979;3501.80;1695.60;1627216544.88;1951571494.00
10.1979;3586.20;1877.50;1722258270.24;2065557996.00
11.1979;3592.00;1861.00;1622056342.06;1945382702.00
12.1979;3642.00;2013.30;1738977409.87;2085609781.00
1.198;3542.90;1964.40;1646878103.90;1987453388.00
2.198;3560.00;1805.70;1586173685.51;1914195263.00
3.198;3643.20;1993.10;1710211075.96;2063883653.00
4.198;3603.50;1845.80;1634663735.83;1972713082.00
5.198;3562.50;1843.50;1616230915.96;1950468345.00
6.198;3453.80;1809.00;1642374665.41;1982018636.00
7.198;3646.00;1836.90;1768317896.91;2134006996.00
8.198;3608.60;1878.20;1681291766.77;2028983815.00
9.198;3749.40;1857.40;1706215501.85;2059061792.00
10.198;3783.50;1905.20;1727147837.50;2084322946.00
